,symbol,price,market cap,exchange,currency,sector,industry,company_url
2777,JRVR,19.82,19.59,NasdaqGS,USD,Financial Services,Insurance—Specialty,https://www.jrgh.net
2778,JWEL,0.3000,0.4190,NasdaqCM,USD,Consumer Cyclical,Internet Retail,https://www.1juhao.com
2779,JAMN,0.0000,0.0000,Other OTC,USD,Consumer Defensive,Food Distribution,https://www.marleycoffee.com
2780,JANL,27.50,27.50,Other OTC,USD,Industrials,Integrated Freight & Logistics,https://www.janelcorp.com
2781,JAN,0.9907,1.0000,NasdaqCM,USD,Industrials,Waste Management,https://www.janone.com
2782,JHG,25.97,25.54,NYSE,USD,Financial Services,Asset Management,https://www.janushenderson.com
2783,JAZZ,147.16,145.78,NasdaqGS,USD,Healthcare,Biotechnology,https://www.jazzpharma.com
2784,JBGS,14.95,14.68,NYSE,USD,Real Estate,REIT—Office,https://www.jbgsmith.com
2785,JEF,31.42,31.03,NYSE,USD,Financial Services,Capital Markets,https://www.jefferies.com
2786,JFWV,71.00,71.00,Other OTC,USD,Financial Services,Banks—Regional,https://www.jsb.bank
2787,JFBC,16.50,16.30,Other OTC,USD,Financial Services,Banks—Regional,https://www.jeffbank.com
2788,JELD,11.12,11.15,NYSE,USD,Industrials,Building Products & Equipment,https://www.jeld-wen.com
2789,JRSH,4.5200,4.5600,NasdaqCM,USD,Consumer Cyclical,Apparel Manufacturing,https://www.jerashholdings.com
2790,JTBK,0.0023,0.0023,Other OTC,USD,Financial Services,Capital Markets,https://www.jetblackcorp.com
2791,JBLU,6.92,6.90,NasdaqGS,USD,Industrials,Airlines,https://www.jetblue.com
2792,JCTCF,5.66,5.51,NasdaqCM,USD,Basic Materials,Lumber & Wood Production,https://www.jewettcameron.com
2793,JHS,11.14,11.12,NYSE,USD,Financial Services,Asset Management,https://www.jhinvestments.com/Fund/Overview.aspx?ProductType=ClosedEnd&FundID=99004&ClassCode=CE&BackToFundTableType=Price
2794,JT,1.5000,1.5200,NYSE,USD,Financial Services,Credit Services,https://www.jianpu.ai
2795,JFIN,3.8500,3.7500,NasdaqGM,USD,Communication Services,Internet Content & Information,https://www.jiayinfintech.cn
